FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,MONTH,DAY_OF_WEEK,HOUR,ROUTE
2023-08-02,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,985.0,PHX,"Phoenix, AZ",OAK,"Oakland, CA",1300.0,1900-01-01 13:22:00,22.0,9.0,1331.0,1502.0,5.0,1450.0,1507.0,17.0,0.0,Not Cancelled,0.0,110.0,105.0,91.0,646.0,12.0,0.0,0.0,0.0,5.0,8,2,13.0,PHX-OAK
2023-01-26,ENVOY AIR,Envoy Air: MQ,MQ,20398.0,3325.0,ORD,"Chicago, IL",OKC,"Oklahoma City, OK",1050.0,1900-01-01 11:25:00,35.0,29.0,1154.0,1344.0,5.0,1311.0,1349.0,38.0,0.0,Not Cancelled,0.0,141.0,144.0,110.0,693.0,0.0,35.0,3.0,0.0,0.0,1,3,11.0,ORD-OKC
2022-12-03,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1711.0,CLT,"Charlotte, NC",MCO,"Orlando, FL",1056.0,1900-01-01 11:27:00,31.0,42.0,1209.0,1314.0,12.0,1237.0,1326.0,49.0,0.0,Not Cancelled,0.0,101.0,119.0,65.0,468.0,0.0,0.0,18.0,0.0,31.0,12,5,11.0,CLT-MCO
2023-06-21,FRONTIER AIRLINES INC.,Frontier Airlines Inc.: F9,F9,20436.0,1354.0,ATL,"Atlanta, GA",MDW,"Chicago, IL",2228.0,1900-01-01 22:40:00,12.0,33.0,2313.0,2330.0,7.0,2328.0,2337.0,9.0,0.0,Not Cancelled,0.0,120.0,117.0,77.0,591.0,0.0,0.0,0.0,0.0,0.0,6,2,22.0,ATL-MDW
2022-07-17,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,3176.0,BNA,"Nashville, TN",ORD,"Chicago, IL",505.0,1900-01-01 05:40:00,35.0,10.0,550.0,700.0,12.0,649.0,712.0,23.0,0.0,Not Cancelled,0.0,104.0,92.0,70.0,409.0,23.0,0.0,0.0,0.0,0.0,7,6,5.0,BNA-ORD
2019-06-13,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,930.0,PHX,"Phoenix, AZ",PDX,"Portland, OR",800.0,1900-01-01 08:00:00,0.0,13.0,813.0,1040.0,4.0,1040.0,1044.0,4.0,0.0,Not Cancelled,0.0,160.0,164.0,147.0,1009.0,0.0,0.0,0.0,0.0,0.0,6,3,8.0,PHX-PDX
2019-08-19,JETBLUE AIRWAYS,JetBlue Airways: B6,B6,20409.0,2227.0,EWR,"Newark, NJ",MCO,"Orlando, FL",1830.0,1900-01-01 01:08:00,348.0,16.0,34.0,231.0,19.0,2125.0,250.0,325.0,0.0,Not Cancelled,0.0,175.0,152.0,117.0,937.0,104.0,0.0,0.0,0.0,221.0,8,0,1.0,EWR-MCO
2022-12-19,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,2722.0,BNA,"Nashville, TN",SAT,"San Antonio, TX",745.0,1900-01-01 07:47:00,2.0,16.0,803.0,1022.0,5.0,1020.0,1027.0,7.0,0.0,Not Cancelled,0.0,155.0,160.0,139.0,822.0,0.0,0.0,0.0,0.0,0.0,12,0,7.0,BNA-SAT
2021-02-02,UNITED AIR LINES INC.,United Air Lines Inc.: UA,UA,19977.0,272.0,EWR,"Newark, NJ",CLT,"Charlotte, NC",1845.0,1900-01-01 22:36:00,231.0,40.0,2316.0,29.0,2.0,2044.0,31.0,227.0,0.0,Not Cancelled,0.0,119.0,115.0,73.0,529.0,0.0,227.0,0.0,0.0,0.0,2,1,22.0,EWR-CLT
2022-03-07,PSA AIRLINES INC.,PSA Airlines Inc.: OH,OH,20397.0,5354.0,DCA,"Washington, DC",GSO,"Greensboro/High Point, NC",1344.0,1900-01-01 14:55:00,71.0,14.0,1509.0,1557.0,5.0,1458.0,1602.0,64.0,0.0,Not Cancelled,0.0,74.0,67.0,48.0,248.0,8.0,0.0,0.0,0.0,56.0,3,0,14.0,DCA-GSO
